Sample	type	UAR	Z
N3249	XX	5.377856847	0.01254726
N3250	XX	5.348506768	-0.499023245
N3251	XX	5.400243715	0.58080598
N3252	XX	5.330112386	-1.124346772
N3253	XX	5.361685753	0.203221383
N3254	XX	5.290499663	-0.765613729
N3255	XX	5.436140067	0.574015781
N3256	XX	5.32481509	-0.361760354
N3257	XX	5.228235602	-2.26509215
N3258	XX	5.40173836	-0.678928178
N3259	XX	5.220525355	-3.261314513
N3260	XX	5.252861736	-3.219873209
N3261	XX	5.32451821	-1.312526796
N3262	XX	5.193043738	-3.026229467
N3263	XX	5.385584909	-1.657452486
N3264	XX	5.318910309	-1.05006822
N3265	XX	5.362902135	-0.833290178
N3266	XX	5.362191184	-0.618895025
N3267	XX	5.180543313	-2.00027998
N3268	XX	5.326410021	-0.580414836
N3269	XX	5.138353258	-3.650962378
N3270	XX	5.393853387	-0.545153027
N3271	XX	5.345714952	-1.058453646
N3272	XX	5.227760882	-3.097551231
N3273	XX	5.259304311	-1.482913248
N3274	XX	5.45092376	1.086228205
N3275	XX	5.189775357	-4.407337476
N3276	XX	5.318007456	-0.660221052
N3277	XX	5.285807765	-2.924941039
N3278	XX	5.290985836	-2.685223312
N3279	XX	5.335996542	-0.124353643
N3280	XX	5.202989979	-2.525031635
N3281	XX	5.393500822	-0.00388598
N3282	XX	5.462097569	0.218964656
N3283	XX	5.369682828	-0.65419279
N3284	XX	5.355432049	-0.962954549
N3285	XX	5.427416767	-0.334833288
N3286	XX	5.405420748	0.846493636
N3287	XX	5.34073784	-0.594355644
N3288	XX	5.396321936	0.063852321
N3289	XX	5.030576708	-5.516763367
N3290	XX	5.200177334	-2.008316243
N3291	XX	5.179375308	-4.852726402
N3292	XX	5.348468205	-0.711158023
N3293	XX	5.218439986	-1.854550825
N3294	XX	5.291196521	-3.456539257
N3295	XX	5.322084461	-1.724045946
N3296	XX	5.445464079	0.567964564
