Sample	type	UAR	Z
N622	XX	5.270032451	-3.033833679
N623	XX	5.263550602	-2.797853213
N624	XX	5.297356717	-3.11796982
N625	XX	5.193225718	-4.915227198
N626	XX	5.259227655	-2.916595415
N627	XX	5.223104523	-2.396769684
N628	XX	5.222694709	-3.568313007
N629	XX	5.20765062	-4.578128571
N630	XX	5.272674622	-2.253661696
N631	XX	5.23876052	-4.202213064
N632	XX	5.229953369	-4.886362595
N633	XX	5.227981596	-3.782740095
N634	XX	5.237269741	-3.366832545
N635	XX	5.227070438	-4.125071391
N636	XX	5.209152933	-3.755104086
N637	XX	5.227057687	-2.59680857
N638	XX	5.206727872	-3.759002893
N639	XX	5.249407386	-2.70644899
N640	XX	5.165560557	-4.779709206
N641	XX	5.212411243	-4.673664126
N642	XX	5.238594936	-3.630465465
N643	XX	5.265854444	-3.1311332
N644	XX	5.258878539	-4.768119536
N645	XX	5.200747893	-5.54929392
N646	XX	5.226701172	-5.012837764
N647	XX	5.271350682	-3.301365429
N648	XX	5.271817237	-3.096930337
N649	XX	5.261050304	-2.927259848
N650	XX	5.256296985	-3.295710645
N651	XX	5.247688429	-2.700228809
N652	XX	5.238907038	-2.561605094
N653	XX	5.292524974	-3.460251742
N654	XX	5.250800049	-3.365444283
N655	XX	5.219270521	-3.945439195
N656	XX	5.228498771	-3.436326018
N657	XX	5.203345996	-3.833744583
N658	XX	5.278298706	-3.223228365
N659	XX	5.314802458	-1.397824318
N660	XX	5.215599022	-4.480137066
N661	XX	5.249287517	-3.967151577
N662	XX	5.242374055	-3.065522322
N663	XX	5.226908891	-4.079211444
N664	XX	5.228543537	-3.508801123
N665	XX	5.191840911	-5.126265932
N666	XX	5.228917052	-4.434216373
N667	XX	5.217860737	-4.530353449
N668	XX	5.249395804	-3.565211999
N669	XX	5.276980477	-2.540286455
N670	XX	5.27285086	-2.975270595
N671	XX	5.26296508	-2.34628369
N672	XX	5.220611317	-3.91187138
N673	XX	5.24023436	-3.547275988
N674	XX	5.233873703	-3.267684366
N675	XX	5.21810667	-1.97212062
N676	XX	5.262943151	-2.53017471
N677	XX	5.173277324	-3.955700215
N678	XX	5.231488558	-3.657939111
N679	XX	5.190976716	-5.384291347
N680	XX	5.228832018	-3.90743821
N681	XX	5.243544187	-3.878437462
N682	XX	5.269416553	-3.623679324
N683	XX	5.274157507	-2.984946051
N684	XX	5.234812422	-5.744264231
N685	XX	5.24826029	-3.580957643
N686	XX	5.246366567	-2.823236898
N687	XX	5.244016688	-4.017844271
N688	XX	5.238678226	-4.190980764
